Species,Mg,TC,MRo2,Watts,ref,
Bolitoglossa morio ,2.09,15,0.0445,0.000248458,[255] ,
Bolitoglossa occidentalis ,1.07,5,0.0196,0.000109433,[255] ,
Bolitoglossa occidentalis ,0.97,15,0.0202,0.000112783,[255] ,
Bolitoglossa occidentalis ,0.61,15,0.0168,0.0000938,[255] ,
Bolitoglossa occidentalis ,0.98,25,0.1039,0.000580108,[255] ,
Bolitoglossa occidentalis ,0.61,25,0.0673,0.000375758,[255] ,
Bolitoglossa subpalmata ,1.63,5,0.0159,0.000088775,[255] ,
Bolitoglossa subpalmata ,1.63,10,0.0251,0.000140142,[255] ,
Bolitoglossa subpalmata ,1.63,15,0.0513,0.000286425,[255] ,
Bolitoglossa subpalmata ,1.63,20,0.0708,0.0003953,[255] ,
Chiropterotriton bromeliacia ,0.59,15,0.0144,0.0000804,[255] ,
Desmognathus fuscus ,0.8,5,0.0132,0.0000737,[255] ,
Desmognathus fuscus ,1.17,5,0.0163,9.10083E-05,[255] ,
Desmognathus fuscus ,2.07,5,0.035,0.000195417,[255] ,
Desmognathus fuscus ,1.67,10,0.0525,0.000293125,[255] ,
Desmognathus fuscus ,1.95,10,0.2139,0.001194275,[255] ,
Desmognathus fuscus ,4.5,13,0.1935,0.001080375,[255] ,
Desmognathus fuscus ,0.91,15,0.0291,0.000162475,[255] ,
Desmognathus fuscus ,1.24,15,0.0423,0.000236175,[255] ,
Desmognathus fuscus ,1.7,15,0.0584,0.000326067,[255] ,
Desmognathus fuscus ,2.53,16.5,0.0972,0.0005427,[255] ,
Desmognathus fuscus ,1.31,17,0.059,0.000329417,[255] ,
Desmognathus fuscus ,2.26,20,0.1022,0.000570617,[255] ,
Desmognathus fuscus ,2.09,20,0.0895,0.000499708,[255] ,
Desmognathus fuscus ,1.92,20,0.0974,0.000543817,[255] ,
Desmognathus monticola ,5.4,15,0.3078,0.00171855,[255] ,
Desmognathus monticola ,3.43,20,0.1454,0.000811817,[255] ,
Desmognathus ochrophaes ,0.9,5,0.01,5.58333E-05,[255] ,
Desmognathus ochrophaes ,2.75,5,0.0338,0.000188717,[255] ,
Desmognathus ochrophaes ,1.17,5,0.0163,9.10083E-05,[255] ,
Desmognathus ochrophaes ,1.07,5,0.0173,9.65917E-05,[255] ,
Desmognathus ochrophaes ,0.9,10,0.017,9.49167E-05,[255] ,
Desmognathus ochrophaes ,2.68,10,0.0496,0.000276933,[255] ,
Desmognathus ochrophaes ,1.16,10,0.0341,0.000190392,[255] ,
Desmognathus ochrophaes ,0.9,14,0.02,0.000111667,[255] ,
Desmognathus ochrophaes ,1.965,15,0.1769,0.000987692,[255] ,
Desmognathus ochrophaes ,2.56,15,0.0822,0.00045895,[255] ,
Desmognathus ochrophaes ,1.24,15,0.0423,0.000236175,[255] ,
Desmognathus ochrophaes ,1.09,15,0.0392,0.000218867,[255] ,
Desmognathus ochrophaes ,0.9,17.5,0.045,0.00025125,[255] ,
Desmognathus ochrophaes ,1.4,17.5,0.051,0.00028475,[255] ,
Desmognathus ochrophaes ,1.6,17.5,0.0427,0.000238408,[255] ,
Desmognathus ochrophaes ,2.5,17.5,0.082,0.000457833,[255] ,
Desmognathus ochrophaes ,2.43,20,0.1196,0.000667767,[255] ,
Desmognathus ochrophaes ,1.11,20,0.0615,0.000343375,[255] ,
Desmognathus ochrophaes ,0.9,21,0.038,0.000212167,[255] ,
Desmognathus quadramaculatus ,23.41,5,0.1639,0.000915108,[255] ,
Desmognathus quadramaculatus ,16.4,5,0.4723,0.002637008,[255] ,
Desmognathus quadramaculatus ,9.25,5,0.2646,0.00147735,[255] ,
Desmognathus quadramaculatus ,10.1,10,0.4444,0.002481233,[255] ,
Desmognathus quadramaculatus ,9.25,10,0.4033,0.002251758,[255] ,
Desmognathus quadramaculatus ,22.28,15,0.43,0.002400833,[255] ,
Desmognathus quadramaculatus ,16.8,15,0.9341,0.005215392,[255] ,
Desmognathus quadramaculatus ,9.25,15,0.5337,0.002979825,[255] ,
Desmognathus quadramaculatus ,2.24,20,0.0977,0.000545492,[255] ,
Desmognathus quadramaculatus ,19.36,20,0.8267,0.004615742,[255] ,
Desmognathus quadramaculatus ,13.3,20,0.9323,0.005205342,[255] ,
Desmognathus quadramaculatus ,9.25,20,0.6216,0.0034706,[255] ,
Desmognathus quadramaculatus ,22.82,25,1.1866,0.006625183,[255] ,
Desmognathus quadramaculatus ,15.1,25,1.1612,0.006483367,[255] ,
Desmognathus quadramaculatus ,9.25,25,0.7104,0.0039664,[255] ,
Ensatina eschscholtzi ,0.308,14,0.0176,9.82667E-05,[255] ,
Ensatina eschscholtzi ,3.39,15,0.1292,0.000721367,[255] ,
Ensatina eschscholtzi ,5.3,25,0.3572,0.001994367,[255] ,
Eurycea bislineata ,1.041,1,0.016,8.93333E-05,[255] ,
Eurycea bislineata ,1.14,5,0.0157,8.76583E-05,[255] ,
Eurycea bislineata ,1.07,10,0.0263,0.000146842,[255] ,
Eurycea bislineata ,1.092,10,0.0489,0.000273025,[255] ,
Eurycea bislineata ,0.93,15,0.0494,0.000275817,[255] ,
Eurycea bislineata ,1.17,16,0.0674,0.000376317,[255] ,
Eurycea bislineata ,0.93,20,0.0539,0.000300942,[255] ,
Eurycea longicauda ,1.57,15,0.0504,0.0002814,[255] ,
Eurycea multiplicata ,0.64,5,0.0088,4.91333E-05,[255] ,
Eurycea multiplicata ,0.78,5,0.0322,0.000179783,[255] ,
Eurycea multiplicata ,0.63,10,0.0093,0.000051925,[255] ,
Eurycea multiplicata ,0.8,10,0.0858,0.00047905,[255] ,
Eurycea multiplicata ,0.71,15,0.0155,8.65417E-05,[255] ,
Eurycea multiplicata ,0.65,15,0.1162,0.000648783,[255] ,
Eurycea multiplicata ,0.84,20,0.0931,0.000519808,[255] ,
Eurycea multiplicata ,0.79,20,0.1764,0.0009849,[255] ,
Eurycea multiplicata ,0.73,25,0.0555,0.000309875,[255] ,
Eurycea nana ,0.154,25,0.0132,0.0000737,[255] ,
Eurycea neotenes ,0.243,25,0.0258,0.00014405,[255] ,
Eurycea pterophila? ,0.196,25,0.0176,9.82667E-05,[255] ,
Gyrinophilus danielsi ,12.78,2,0.1035,0.000577875,[255] ,
Gyrinophilus danielsi ,14.44,15,0.322,0.001797833,[255] ,
Gyrinophilus danielsi ,13.76,25,0.9109,0.005085858,[255] ,
Gyrinophilus porphyrictus ,7.28,5,0.0531,0.000296475,[255] ,
Gyrinophilus porphyrictus ,15.3,15,0.8874,0.00495465,[255] ,
Gyrinophilus porphyrictus ,12.4,15.5,0.1885,0.001052458,[255] ,
Gyrinophilus porphyrictus ,7.36,25,0.4858,0.002712383,[255] ,
